name	iso_3166	who_member_state	who_region	completed_jee	completed_naphs	published_naphs	naphs_includes_line_item_costs	naphs_data_machine_readable
Bulgaria	BGR	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Burkina Faso	BFA	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Burundi	BDI	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Cabo Verde	CPV	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Cambodia	KHM	TRUE	Western Pacific Region	TRUE	TRUE	FALSE	NA	NA
Cameroon	CMR	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Canada	CAN	TRUE	Region of the Americas	TRUE	FALSE	FALSE	NA	NA
Central African Republic	CAF	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Chad	TCD	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Chile	CHL	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
China	CHN	TRUE	Western Pacific Region	FALSE	TRUE	FALSE	NA	NA
Colombia	COL	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Comoros	COM	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
"Congo, Democratic Republic of the"	COD	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
"Congo, Republic of the"	COG	TRUE	African Region	TRUE	FALSE	FALSE	NA	NA
Cook Islands	COK	TRUE	Western Pacific Region	FALSE	FALSE	NA	NA	NA
Costa Rica	CRI	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
C™te d'Ivoire	CIV	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Croatia	HRV	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Cuba	CUB	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Cyprus	CYP	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Czechia	CZE	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Denmark	DNK	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Djibouti	DJI	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA
Dominica	DMA	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Dominican Republic	DOM	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Ecuador	ECU	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Egypt	EGY	TRUE	Eastern Mediterranean Region	FALSE	TRUE	FALSE	NA	NA
El Salvador	SLV	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Equatorial Guinea	GNQ	TRUE	African Region	FALSE	FALSE	NA	NA	NA
Eritrea	ERI	TRUE	African Region	TRUE	TRUE	TRUE	TRUE	FALSE
Estonia	EST	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Eswatini	SWZ	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Ethiopia	ETH	TRUE	African Region	TRUE	FALSE	FALSE	NA	NA
Fiji	FJI	TRUE	Western Pacific Region	FALSE	FALSE	NA	NA	NA
Finland	FIN	TRUE	European Region	TRUE	TRUE	FALSE	NA	NA
France	FRA	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Gabon	GAB	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Gambia	GMB	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Georgia	GEO	TRUE	European Region	TRUE	FALSE	FALSE	NA	NA
Germany	DEU	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Ghana	GHA	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Greece	GRC	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Grenada	GRD	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Guatemala	GTM	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Guinea	GIN	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Guinea-Bissau	GNB	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Guyana	GUY	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Haiti	HTI	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Honduras	HND	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Hungary	HUN	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Iceland	ISL	TRUE	European Region	FALSE	FALSE	NA	NA	NA
India	IND	TRUE	South-East Asia Region	FALSE	FALSE	NA	NA	NA
Indonesia	IDN	TRUE	South-East Asia Region	TRUE	TRUE	TRUE	FALSE	FALSE
Iran	IRN	TRUE	Eastern Mediterranean Region	FALSE	FALSE	NA	NA	NA
Iraq	IRQ	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA
Ireland	IRL	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Israel	ISR	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Italy	ITA	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Jamaica	JAM	TRUE	Region of the Americas	FALSE	FALSE	NA	NA	NA
Japan	JPN	TRUE	Western Pacific Region	TRUE	FALSE	FALSE	NA	NA
Jordan	JOR	TRUE	Eastern Mediterranean Region	TRUE	TRUE	FALSE	NA	NA
Kazakhstan	KAZ	TRUE	European Region	FALSE	FALSE	NA	NA	NA
Kenya	KEN	TRUE	African Region	TRUE	TRUE	FALSE	NA	NA
Kiribati	KIR	TRUE	Western Pacific Region	FALSE	FALSE	NA	NA	NA
